1 -122.228 123.743
2 -122.025 123.591
3 -121.805 123.383
4 -121.575 123.111
5 -121.346 122.775
6 -121.132 122.383
7 -120.946 121.949
8 -120.798 121.49
9 -120.69 121.022
10 -120.612 120.55
11 -120.548 120.07
12 -120.473 119.565
13 -120.362 119.014
14 -120.195 118.398
15 -119.964 117.709
16 -119.675 116.95
17 -119.349 116.15
18 -119.017 115.352
19 -118.717 114.611
20 -118.482 113.984
21 -118.338 113.52
22 -118.295 113.245
23 -118.352 113.167
24 -118.497 113.272
25 -118.718 113.54
26 -119.003 113.948
27 -119.347 114.483
28 -119.752 115.136
29 -120.219 115.898
30 -120.744 116.752
31 -121.312 117.664
32 -121.896 118.579
33 -122.458 119.433
34 -122.958 120.163
35 -123.362 120.71
36 -123.651 121.037
37 -123.827 121.123
38 -123.91 120.975
39 -123.936 120.615
40 -123.949 120.076
41 -123.987 119.396
42 -124.075 118.608
43 -124.222 117.738
44 -124.418 116.8
45 -124.646 115.801
46 -124.88 114.753
47 -125.096 113.672
48 -125.276 112.587
49 -125.41 111.541
50 -125.497 110.58
51 -125.544 109.748
52 -125.563 109.075
53 -125.567 108.573
54 -125.564 108.235
55 -125.557 108.038
56 -125.543 107.958
57 -125.519 107.971
58 -125.487 108.07
59 -125.458 108.255
60 -125.455 108.54
61 -125.503 108.94
62 -125.63 109.472
63 -125.852 110.141
64 -126.176 110.94
65 -126.593 111.853
66 -127.085 112.857
67 -127.625 113.92
68 -128.184 115.016
69 -128.729 116.119
70 -129.234 117.206
71 -129.676 118.255
72 -130.04 119.248
73 -130.322 120.172
74 -130.525 121.014
75 -130.656 121.764
76 -130.725 122.412
77 -130.738 122.948
78 -130.695 123.361
79 -130.594 123.636
80 -130.432 123.763
81 -130.208 123.735
82 -129.93 123.552
83 -129.608 123.224
84 -129.258 122.768
85 -128.894 122.213
86 -128.526 121.591
87 -128.162 120.941
88 -127.801 120.298
89 -127.436 119.695
90 -127.057 119.154
91 -126.645 118.684
92 -126.18 118.283
93 -125.642 117.941
94 -125.015 117.648
95 -124.298 117.403
96 -123.502 117.219
97 -122.656 117.125
98 -121.798 117.156
99 -120.966 117.346
100 -120.192 117.71
101 -119.495 118.238
102 -118.878 118.896
103 -118.337 119.635
104 -117.865 120.401
105 -117.464 121.151
106 -117.142 121.857
107 -116.914 122.508
108 -116.794 123.103
109 -116.791 123.643
110 -116.899 124.124
111 -117.099 124.529
112 -117.359 124.833
113 -117.643 125.004
114 -117.915 125.009
115 -118.146 124.825
116 -118.321 124.444
117 -118.437 123.878
118 -118.504 123.162
119 -118.539 122.343
120 -118.561 121.481
121 -118.578 120.629
122 -118.587 119.825
123 -118.572 119.087
124 -118.505 118.417
125 -118.362 117.804
126 -118.125 117.242
127 -117.797 116.737
128 -117.395 116.306
129 -116.954 115.974
130 -116.511 115.768
131 -116.097 115.697
132 -115.727 115.756
133 -115.397 115.917
134 -115.088 116.14
135 -114.78 116.379
136 -114.458 116.6
