     1	-122.228
     2	-122.025
     3	-121.805
     4	-121.575
     5	-121.346
     6	-121.132
     7	-120.946
     8	-120.798
     9	-120.69
    10	-120.612
    11	-120.548
    12	-120.473
    13	-120.362
    14	-120.195
    15	-119.964
    16	-119.675
    17	-119.349
    18	-119.017
    19	-118.717
    20	-118.482
    21	-118.338
    22	-118.295
    23	-118.352
    24	-118.497
    25	-118.718
    26	-119.003
    27	-119.347
    28	-119.752
    29	-120.219
    30	-120.744
    31	-121.312
    32	-121.896
    33	-122.458
    34	-122.958
    35	-123.362
    36	-123.651
    37	-123.827
    38	-123.91
    39	-123.936
    40	-123.949
    41	-123.987
    42	-124.075
    43	-124.222
    44	-124.418
    45	-124.646
    46	-124.88
    47	-125.096
    48	-125.276
    49	-125.41
    50	-125.497
    51	-125.544
    52	-125.563
    53	-125.567
    54	-125.564
    55	-125.557
    56	-125.543
    57	-125.519
    58	-125.487
    59	-125.458
    60	-125.455
    61	-125.503
    62	-125.63
    63	-125.852
    64	-126.176
    65	-126.593
    66	-127.085
    67	-127.625
    68	-128.184
    69	-128.729
    70	-129.234
    71	-129.676
    72	-130.04
    73	-130.322
    74	-130.525
    75	-130.656
    76	-130.725
    77	-130.738
    78	-130.695
    79	-130.594
    80	-130.432
    81	-130.208
    82	-129.93
    83	-129.608
    84	-129.258
    85	-128.894
    86	-128.526
    87	-128.162
    88	-127.801
    89	-127.436
    90	-127.057
    91	-126.645
    92	-126.18
    93	-125.642
    94	-125.015
    95	-124.298
    96	-123.502
    97	-122.656
    98	-121.798
    99	-120.966
   100	-120.192
   101	-119.495
   102	-118.878
   103	-118.337
   104	-117.865
   105	-117.464
   106	-117.142
   107	-116.914
   108	-116.794
   109	-116.791
   110	-116.899
   111	-117.099
   112	-117.359
   113	-117.643
   114	-117.915
   115	-118.146
   116	-118.321
   117	-118.437
   118	-118.504
   119	-118.539
   120	-118.561
   121	-118.578
   122	-118.587
   123	-118.572
   124	-118.505
   125	-118.362
   126	-118.125
   127	-117.797
   128	-117.395
   129	-116.954
   130	-116.511
   131	-116.097
   132	-115.727
   133	-115.397
   134	-115.088
   135	-114.78
   136	-114.458
   137	-114.118
   138	-113.775
   139	-113.455
   140	-113.19
   141	-113.009
   142	-112.935
   143	-112.975
   144	-113.125
   145	-113.369
   146	-113.685
   147	-114.043
   148	-114.418
   149	-114.79
   150	-115.154
   151	-115.514
   152	-115.887
   153	-116.291
   154	-116.739
   155	-117.232
   156	-117.764
   157	-118.318
   158	-118.881
   159	-119.438
   160	-119.983
   161	-120.513
   162	-121.03
   163	-121.533
   164	-122.023
   165	-122.498
   166	-122.956
   167	-123.395
   168	-123.811
   169	-124.2
   170	-124.555
   171	-124.867
   172	-125.126
   173	-125.326
   174	-125.468
   175	-125.561
   176	-125.619
   177	-125.663
   178	-125.71
   179	-125.769
   180	-125.843
   181	-125.925
   182	-126.006
   183	-126.075
   184	-126.133
   185	-126.183
   186	-126.238
   187	-126.31
   188	-126.404
   189	-126.518
   190	-126.639
   191	-126.746
   192	-126.819
   193	-126.839
   194	-126.797
   195	-126.698
   196	-126.555
   197	-126.39
   198	-126.231
   199	-126.102
   200	-126.024
   201	-126.001
   202	-126.03
   203	-126.092
   204	-126.165
   205	-126.228
   206	-126.264
   207	-126.268
   208	-126.248
   209	-126.217
   210	-126.189
   211	-126.17
   212	-126.152
   213	-126.118
   214	-126.043
   215	-125.905
   216	-125.692
   217	-125.409
   218	-125.075
   219	-124.721
   220	-124.383
   221	-124.093
   222	-123.866
   223	-123.709
   224	-123.612
   225	-123.56
   226	-123.535
   227	-123.525
   228	-123.527
   229	-123.547
   230	-123.594
   231	-123.684
   232	-123.826
   233	-124.024
   234	-124.274
   235	-124.567
   236	-124.888
   237	-125.224
   238	-125.563
   239	-125.9
   240	-126.231
   241	-126.558
   242	-126.883
   243	-127.209
   244	-127.536
   245	-127.86
   246	-128.175
   247	-128.472
   248	-128.741
   249	-128.972
   250	-129.156
   251	-129.286
   252	-129.362
   253	-129.385
   254	-129.367
   255	-129.328
   256	-129.292
   257	-129.289
   258	-129.344
   259	-129.472
   260	-129.671
   261	-129.925
   262	-130.202
   263	-130.467
   264	-130.692
   265	-130.858
   266	-130.959
   267	-130.996
   268	-130.971
   269	-130.884
   270	-130.727
   271	-130.494
   272	-130.182
   273	-129.796
   274	-129.353
   275	-128.88
   276	-128.411
   277	-127.98
   278	-127.618
   279	-127.349
   280	-127.185
   281	-127.135
   282	-127.196
   283	-127.358
   284	-127.606
   285	-127.926
   286	-128.308
   287	-128.749
   288	-129.253
   289	-129.829
   290	-130.477
   291	-131.188
   292	-131.934
   293	-132.679
   294	-133.383
   295	-134.012
   296	-134.543
   297	-134.967
   298	-135.285
   299	-135.502
   300	-135.622
   301	-135.646
   302	-135.567
   303	-135.369
   304	-135.036
   305	-134.549
   306	-133.894
   307	-133.073
   308	-132.097
   309	-131
   310	-129.822
   311	-128.609
   312	-127.405
   313	-126.24
   314	-125.137
   315	-124.109
   316	-123.166
   317	-122.318
   318	-121.577
   319	-120.954
   320	-120.456
   321	-120.084
   322	-119.829
   323	-119.677
   324	-119.608
   325	-119.599
   326	-119.627
   327	-119.671
   328	-119.716
   329	-119.751
   330	-119.771
   331	-119.773
   332	-119.76
   333	-119.733
   334	-119.698
   335	-119.662
   336	-119.633
   337	-119.625
   338	-119.651
   339	-119.719
   340	-119.827
   341	-119.961
   342	-120.092
   343	-120.187
   344	-120.213
   345	-120.147
   346	-119.98
   347	-119.718
   348	-119.377
   349	-118.979
   350	-118.538
   351	-118.065
   352	-117.558
   353	-117.013
   354	-116.431
   355	-115.826
   356	-115.225
   357	-114.669
   358	-114.207
   359	-113.879
   360	-113.714
   361	-113.716
   362	-113.871
   363	-114.148
   364	-114.515
   365	-114.939
   366	-115.399
   367	-115.883
   368	-116.384
   369	-116.899
   370	-117.421
   371	-117.946
   372	-118.466
   373	-118.969
   374	-119.441
   375	-119.87
   376	-120.248
   377	-120.576
   378	-120.87
   379	-121.155
   380	-121.461
   381	-121.81
   382	-122.2
   383	-122.612
   384	-123.006
   385	-123.337
   386	-123.566
   387	-123.671
   388	-123.647
   389	-123.503
   390	-123.257
   391	-122.927
   392	-122.525
   393	-122.061
   394	-121.543
   395	-120.984
   396	-120.406
   397	-119.836
   398	-119.299
   399	-118.818
   400	-118.402
   401	-118.057
   402	-117.778
   403	-117.564
   404	-117.412
   405	-117.318
   406	-117.277
   407	-117.275
   408	-117.289
   409	-117.294
   410	-117.268
   411	-117.203
   412	-117.106
   413	-117
   414	-116.918
   415	-116.893
   416	-116.958
   417	-117.134
   418	-117.434
   419	-117.857
   420	-118.392
   421	-119.011
   422	-119.68
   423	-120.36
   424	-121.019
   425	-121.63
   426	-122.18
   427	-122.672
   428	-123.114
   429	-123.517
   430	-123.885
   431	-124.209
   432	-124.466
   433	-124.633
   434	-124.694
   435	-124.653
   436	-124.534
   437	-124.377
   438	-124.224
   439	-124.109
   440	-124.045
   441	-124.024
   442	-124.024
   443	-124.013
   444	-123.963
   445	-123.846
   446	-123.644
   447	-123.346
   448	-122.947
   449	-122.454
   450	-121.884
   451	-121.264
   452	-120.627
   453	-120.003
   454	-119.414
   455	-118.876
   456	-118.407
   457	-118.029
   458	-117.768
   459	-117.654
   460	-117.705
   461	-117.918
   462	-118.265
   463	-118.699
   464	-119.163
   465	-119.61
   466	-120.006
   467	-120.339
   468	-120.616
   469	-120.854
   470	-121.069
   471	-121.269
   472	-121.447
   473	-121.585
   474	-121.664
   475	-121.672
   476	-121.607
   477	-121.481
   478	-121.32
   479	-121.153
   480	-121.013
   481	-120.919
   482	-120.882
   483	-120.894
   484	-120.937
   485	-120.986
   486	-121.015
   487	-121.002
   488	-120.932
   489	-120.801
   490	-120.618
   491	-120.399
   492	-120.167
   493	-119.95
   494	-119.771
   495	-119.649
   496	-119.595
   497	-119.616
   498	-119.714
   499	-119.884
   500	-120.119
   501	-120.406
   502	-120.731
   503	-121.077
   504	-121.435
   505	-121.797
   506	-122.163
   507	-122.54
   508	-122.936
   509	-123.357
   510	-123.802
   511	-124.261
   512	-124.718
   513	-125.156
   514	-125.563
   515	-125.937
   516	-126.286
   517	-126.623
   518	-126.961
   519	-127.306
   520	-127.654
   521	-127.987
   522	-128.276
   523	-128.491
