-122.228 123.743
-120.548 120.07
-118.338 113.52
-121.312 117.664
-123.987 119.395
-125.544 109.748
-125.503 108.94
-129.676 118.255
-130.208 123.735
-126.645 118.684
-119.495 118.238
-117.099 124.529
-118.578 120.629
-116.097 115.697
-113.009 117.203
-115.515 119.723
-120.513 123.857
-124.866 123.007
-125.925 122.614
-126.747 123.386
-126.001 117.322
-126.17 115.434
-124.093 119.304
-123.684 123.49
-126.557 125.852
-129.287 126.688
-129.925 125.301
-130.494 118.886
-127.133 114.857
-131.188 119.919
-135.647 120.474
-128.61 120.594
-120.083 126.161
-119.774 128.582
-119.96 120.055
-118.066 116.922
-113.716 118.468
-117.946 117.661
-121.808 116.099
-122.926 124.245
-118.056 125.812
-117.203 118.213
-119.009 115.298
-124.208 119.807
-124.023 124.37
-121.264 124.483
-117.919 124.67
-121.269 126.864
-120.919 123.177
-120.4 119.394
-120.407 123.548
-124.26 124.236
-127.985 122.616
-126.888 124.931
-128.232 126.279
-133.544 119.07
-130.431 111.474
-127.367 115.202
-130.154 120.529
-128.536 121.307
-124.745 128.653
-124.776 132.935
-126.825 126.407
-124.737 119.859
-121.704 123.35
-122.269 130.17
-118.921 131.946
-111.173 126.179
-108.157 129.166
-110.305 134.635
-108.429 132.41
-106.836 124.945
-109.845 129.274
-110.362 135.454
-106.029 138.463
-103.951 135.957
-102.363 132.4
-101.912 134.981
-102.022 137.677
-99.2576 128.678
-104.981 124.918
-110.228 128.201
-113.645 130.606
-115.301 129.327
-115.823 131.576
-116.178 136.672
-119.558 141.945
-118.936 140.669
-121.552 138.678
-123.299 138.302
-124.333 141.946
-122.826 139.584
-127.603 138.434
-127.585 135.84
-127.123 131.043
-125.125 123.998
-125.828 119.014
-129.928 119.408
-130.346 122.599
-121.941 120.127
-121.176 122.017
-121.861 121.669
-124.252 123.543
-125.837 123.409
-128.629 123.732
-130.314 127.598
-132.495 129.447
-133.356 127.319
-133.816 132.155
-130.413 131.386
-122.833 128.73
-120.614 129.34
-122.434 132.511
-121.527 132.824
-118.97 132.665
-120.427 137.223
-125.159 140.93
-124.634 138.611
-123.63 137.019
-120.711 137.403
-115.297 142.981
-110.813 144.305
-114.828 144.213
-117.258 147.621
-123.235 147.99
-132.383 142.03
-138.9 141.233
-137.026 146.676
-136.124 146.636
-138.484 140.099
-133.675 140.143
-129.442 139.213
-130.667 132.043
-134.438 127.614
-127.67 127.085
-120.813 133.496
-118.925 138.108
-116.021 129.15
-113.891 121.999
-116.019 124.322
-116.854 124.918
-115.422 122.004
-109.917 118.09
-111.124 124.039
-118.775 127.281
-119.667 128.57
-118.899 124.511
-126.475 119.423
-130.429 120.097
-130.631 124.391
-132.239 123.448
-135.19 121.408
-125.679 126.075
-121.728 129.357
-128.294 123.847
-130.583 122.786
-123.357 127.884
-123.848 129.975
-130.616 128.047
-126.972 129.532
-124.363 131.838
-130.421 133.462
-126.293 131.657
-121.468 132.086
-125.415 131.53
-135.396 132.751
-135.228 134.139
-136.391 135.286
-141.499 134.146
-150.897 135.464
-148.639 136.241
-143.305 136.875
-142.591 135.517
-143.394 136.905
-139.065 141.183
-134.299 142.597
-133.15 140.458
-130.91 141.103
-122.36 137.098
-121.815 137.398
-119.505 144.821
-117.163 148.021
-114.909 141.167
-122.359 140.264
-123.763 138.668
-126.592 134.49
