-58.6035 144.462
-61.106 145.063
-55.6937 144.432
-54.6133 144.925
-59.8279 150.075
-61.8309 154.234
-63.6865 153.514
-58.1631 152.451
-55.8752 155.473
-63.4321 155.504
-65.2439 151.279
-57.4792 148.377
-51.9696 147.492
-63.0518 148.366
-64.903 148.789
-63.9379 149.648
-66.145 150.189
-58.9506 151.285
-59.4773 151.632
-70.1815 150.081
-74.6083 155.147
-74.8816 161.154
-71.8062 159.206
-70.7427 154.571
-69.871 154.831
-70.5572 158.013
-68.9593 159.708
-65.5947 157.55
-70.5455 154.077
-68.1747 154.186
-60.6546 156.466
-63.032 149.16
-62.2434 143.736
-55.8626 146.157
-58.971 148.334
-57.1471 141.986
-54.5348 137.889
-48.7635 140.549
-49.201 141.748
-51.9004 138.156
-61.5133 140.463
-65.2777 142.99
-62.8343 139.69
-67.0688 142.388
-72.3228 150.711
-77.7612 152.722
-84.8766 151.559
-77.4885 153.981
-70.0599 157.539
-71.9484 151.018
-72.9527 147.353
-64.8699 153.235
-60.4979 155.494
-61.5707 151.153
-56.6772 150.58
-51.7993 155.356
-55.7633 158.216
-51.6248 157.055
-52.6968 156.647
-57.2698 156.672
-61.689 153.914
-69.4023 158.394
-71.9862 164.684
-76.3575 164.199
-82.4621 160.084
-86.6696 161.882
-84.1081 159.743
-76.678 148.718
-81.3948 144.522
-88.3088 148.333
-88.2079 149.376
-83.0311 144.185
-87.3499 144.277
-87.4842 147.345
-86.0149 143.017
-86.4967 134.67
-89.8757 136.474
-83.2604 140.981
-83.6173 139.934
-79.0461 135.296
-79.3 141.407
-76.2986 144.866
-76.197 145.819
-64.0417 142.971
-62.0132 144.697
-59.7459 142.918
-60.1843 145.298
-56.0011 145.218
-62.0644 148.569
-60.0876 151.055
-58.8032 152.293
-58.9097 151.803
-62.9519 151.821
-55.2034 147.034
-56.0116 147.992
-57.0348 148.767
-63.7303 146.454
-70.852 148.241
-72.6271 155.081
-71.2012 150.673
-77.27 145.149
-82.7792 148.232
-79.7402 148.193
-78.2048 148.47
-84.7695 150.26
-89.0532 152.643
-90.5203 156.076
-89.7505 156.876
-90.3851 156.087
-86.3911 158.167
-78.4257 157.566
-73.2704 154.451
-71.0675 152.646
-64.2973 153.408
-57.1484 154.774
-59.1983 154.059
-58.1474 153.912
-55.093 158.044
-57.8123 161.287
-54.8263 157.696
-49.1923 149.205
-43.9832 144.743
-45.0522 149.104
-47.7288 152.702
-57.6181 154.839
-56.3095 157.947
-52.4996 159.453
-57.2935 156.945
-59.8851 154.518
-53.5051 152.015
-62.0801 152.823
-65.87 147.874
-62.2618 147.586
-67.1379 151.363
-76.2438 148.634
-73.3645 138.772
-70.4351 136.316
-74.1363 137.707
-80.5283 135.805
-82.4106 135.184
-81.6822 135.896
-80.0516 136.429
-83.5628 135.779
-88.8509 141.483
-83.1585 144.328
-84.7249 139.859
-89.3656 138.992
-89.663 148.704
-89.9793 154.158
-97.2185 153.195
-95.7836 153.435
-87.5796 154.74
-87.6535 153.95
-85.2036 150.754
-75.065 153.322
-75.2764 154.565
-71.2878 146.521
-61.6902 145.198
-63.268 152.432
-70.0657 154.824
-66.9744 153.457
-61.6551 158.808
-57.7884 160.315
-57.1858 158.146
-57.5363 159.727
-60.1606 167.255
-57.6836 172.415
-55.5732 170.548
-59.5739 171.14
-62.9367 175.166
-66.7427 175.158
-65.8954 172.409
-67.9403 175.266
-72.2765 173.225
-72.052 166.248
-71.9341 163.178
-76.3845 168.141
-79.4829 165.228
-84.6201 160.454
-81.7901 157.06
-78.3659 158.653
-82.7786 156.922
-84.1644 158.947
-77.4876 164.664
-78.0773 168.797
-85.7546 168.563
-74.1835 165.602
-64.5416 165.375
-70.9482 160.685
-71.0038 152.382
-61.9274 149.073
-68.1873 153.954
-71.15 155.21
-74.3178 156.788
-76.5244 157.011
-78.531 160.445
-78.0547 163.233
-87.5311 161.691
-87.9315 158.664
-81.122 157.286
-86.4356 154.274
-95.3472 157.606
-88.8677 163.988
-91.344 168.772
-92.5512 163.731
-81.6213 156.856
-70.8117 152.735
-73.5271 152.037
-72.6282 149.856
-65.2949 149.674
-64.7064 152.286
-66.9668 155.267
-68.0558 158.417
-76.5101 161.348
-76.9546 161.411
-73.8559 157.321
-75.3472 151.074
-77.2708 150.152
-77.4569 155.12
-79.2937 157.762
-82.0109 157.871
-78.0482 159.912
-78.0921 161.498
-81.3519 156.654
-77.644 151.152
-70.477 149.725
-67.6545 150.512
-70.4258 151.547
-66.9612 154.168
-65.7774 160.832
-71.6884 162.854
-72.5874 162.589
-65.9694 160.4
-64.8276 157.96
-65.069 151.814
-66.6037 150.167
-60.9065 149.017
-61.8338 151.122
-67.6608 151.202
-74.3723 157.15
-74.4842 158.706
-69.3995 151.894
-67.8568 145.821
